
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000020                       # Number of seconds simulated (Second)
simTicks                                     19744000                       # Number of ticks simulated (Tick)
finalTick                                    19744000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.12                       # Real time elapsed on the host (Second)
hostTickRate                                167334797                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  404960352                       # Number of bytes of host memory used (Byte)
simInsts                                        11402                       # Number of instructions simulated (Count)
simOps                                          20604                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    96610                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     174569                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            39489                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.463340                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.288739                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           36359                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          32982                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    101                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                15751                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             22118                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               28398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.161420                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.040752                       # Number of insts issued each cycle (Count)
system.cpu.decode.blockedCycles                 10433                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                      6049                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles                   904                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                    855                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved                 1438                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                   608                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts                  41221                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  2104                       # Number of squashed instructions handled by decode (Count)
system.cpu.dtb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED     19744000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dtb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dtb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dtb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dtb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu.dtb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED     19744000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.executeStats0.numInsts               15851                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches             1746                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts            1789                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts           1166                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            0.401403                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads           7925                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites          5259                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegWrites             0                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads         15715                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites        11241                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs              2955                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads         6938                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites            1                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.executeStats1.numInsts               15898                       # Number of executed instructions (Count)
system.cpu.executeStats1.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats1.numBranches             1765                       # Number of branches executed (Count)
system.cpu.executeStats1.numLoadInsts            1756                       # Number of load instructions executed (Count)
system.cpu.executeStats1.numStoreInsts           1197                       # Number of stores executed (Count)
system.cpu.executeStats1.instRate            0.402593                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats1.numCCRegReads           7966                       # Number of times the CC registers were read (Count)
system.cpu.executeStats1.numCCRegWrites          5332                       # Number of times the CC registers were written (Count)
system.cpu.executeStats1.numFpRegReads              4                       # Number of times the floating registers were read (Count)
system.cpu.executeStats1.numFpRegWrites             0                       # Number of times the floating registers were written (Count)
system.cpu.executeStats1.numIntRegReads         15830                       # Number of times the integer registers were read (Count)
system.cpu.executeStats1.numIntRegWrites        11249                       # Number of times the integer registers were written (Count)
system.cpu.executeStats1.numMemRefs              2953                       # Number of memory refs (Count)
system.cpu.executeStats1.numMiscRegReads         6927                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats1.numMiscRegWrites            1                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats1.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats1.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches               1602                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                         11584                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                    1441                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                  384                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.cacheLines                      3815                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                   542                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples              28398                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              1.728361                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.119440                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                    21093     74.28%     74.28% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                      236      0.83%     75.11% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                      267      0.94%     76.05% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                      378      1.33%     77.38% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                      482      1.70%     79.08% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                      276      0.97%     80.05% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                      544      1.92%     81.96% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                      370      1.30%     83.27% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                     4752     16.73%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total                28398                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts                 13947                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             0.353187                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches               3061                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.077515                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles          592                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
